id	label	rarity	tier	category	depth	definition
2426	A6	73	obscure	noun.attribute	5	Paper size, 105 x 148 mm
2427	B0	73	obscure	noun.attribute	5	Paper size, 1000 x 1414 mm
2428	B1	73	obscure	noun.attribute	5	Paper size, 707 x 1000 mm
2429	B2	73	obscure	noun.attribute	5	Paper size, 500 x 707 mm
2430	B3	73	obscure	noun.attribute	5	Paper size, 353 x 500 mm
2431	B4	73	obscure	noun.attribute	5	Paper size, 250 x 353 mm
2432	B5	73	obscure	noun.attribute	5	Paper size, 176 x 250 mm.
2433	B6	73	obscure	noun.attribute	5	Paper size, 125 x 176 mm.
2434	C0	73	obscure	noun.attribute	5	Envelope size, 917 x 1297 mm.
2435	C1	73	obscure	noun.attribute	5	Envelope size, 648 x 917 mm.
2436	C2	73	obscure	noun.attribute	5	Envelope size, 458 x 648 mm
2437	C3	73	obscure	noun.attribute	5	Envelope size, 324 x 458 mm
2438	C4	73	obscure	noun.attribute	5	Envelope size, 229 x 324 mm
2439	C5	73	obscure	noun.attribute	5	Envelope size, 162 x 229 mm
2440	C6	73	obscure	noun.attribute	5	Envelope size, 114 x 162 mm.
2441	extra large	76	obscure	noun.attribute	5	a garment size for a very large person
2442	large	73	obscure	noun.attribute	5	a garment size for a large person
2443	octavo	66	ordinary	noun.attribute	5	the size of a book whose pages are made by folding a sheet of paper three times to form eight leaves
2444	outsize	73	obscure	noun.attribute	5	an unusual garment size (especially one that is very large)
2445	petite	73	obscure	noun.attribute	5	a garment size for short or slender women
2446	press sheet	76	obscure	noun.attribute	5	a sheet as printed during a pressrun and before folding.
2447	quarto	70	technical	noun.attribute	5	the size of a book whose pages are made by folding a sheet of paper twice to form four leaves
2448	regular	74	obscure	noun.attribute	5	a garment size for persons of average height and weight
2449	size of coal	75	obscure	noun.attribute	5	the commercial size of coal, as broken and sorted by the coal breaker.
2450	small	73	obscure	noun.attribute	5	a garment size for a small person
2451	stout	73	obscure	noun.attribute	5	a garment size for a large or heavy person
2452	tall	73	obscure	noun.attribute	5	a garment size for a tall person
